"Flug";"Number";"Team ID";"Time_ms";"Gyro x";"Gyro y";"Gyro z";"Accel x";"Accel y";"Accel z";"Mag x";"Mag y";"Mag z";"Bme_press";"Bme_temp";"Bme_humidity";"Bme_height";"Lat";"Lon";"Height";"Fix";"Photo";"Status";"crc"
170;1;217;963;19;-104;-97;19;-426;2008;-480;404;-1207;99981;2310;6165;0;0,0;0,0;0,0;0;1147;0;24375

170;2;217;1651;23;-93;-117;16;-419;2002;-480;397;-1206;99980;2310;6166;0;0,0;0,0;0,0;0;1147;0;10899

170;3;217;1859;22;-104;-107;18;-421;2005;-483;403;-1195;99980;2310;6166;0;0,0;0,0;0,0;0;1155;0;64575

170;4;217;2029;27;-105;-97;12;-420;1994;-484;406;-1199;99980;2310;6166;0;0,0;0,0;0,0;0;1153;0;18985

170;5;217;2227;26;-82;-102;21;-429;2005;-484;406;-1202;99981;2310;6167;0;0,0;0,0;0,0;0;1158;0;1208

170;6;217;2397;23;-108;-103;11;-423;1993;-482;401;-1198;99981;2310;6167;0;0,0;0,0;0,0;0;1170;0;31192

170;7;217;2580;27;-77;-115;8;-429;2009;-489;405;-1199;99981;2310;6167;0;0,0;0,0;0,0;0;1172;0;8238

170;8;217;2779;17;-96;-104;16;-424;1992;-486;415;-1192;99979;2310;6167;0;0,0;0,0;0,0;0;1147;0;39818

170;9;217;2949;23;-79;-84;8;-430;2011;-486;403;-1189;99979;2310;6167;0;0,0;0,0;0,0;0;1155;0;4117

170;10;217;3119;24;-102;-94;14;-426;2008;-484;410;-1183;99979;2310;6167;0;0,0;0,0;0,0;0;1165;0;4124

170;11;217;3289;24;-98;-77;6;-425;2010;-485;414;-1211;99978;2309;6168;0;0,0;0,0;0,0;0;1178;0;7232

170;12;217;3498;26;-108;-87;11;-424;1995;-496;404;-1189;99978;2309;6168;0;0,0;0,0;0,0;0;1172;0;27078

170;13;217;3668;29;-90;-107;15;-430;2016;-487;403;-1191;99978;2309;6168;0;0,0;0,0;0,0;0;1157;0;2084
