Flug;Number;Time_ms;Bme_press_1;Bme_press_2;Bme_temp_1;Bme_temp_2;Bme_humidity_1;Bme_humidity_2;Bme_height;Pito_speed;crc
221;10070;218722;98704;98630;18,95;19,66;43;42,3;40952;11,10555417;0
221;10071;218781;98704;98630;18,95;19,66;43;42,3;40952;11,10555417;0
221;10072;218801;98707;98629;18,95;19,66;43;42,3;40952;11,40175425;0
221;10073;218821;98707;98629;18,95;19,66;43;42,3;40952;11,40175425;0
221;10074;218841;98707;98629;18,95;19,66;43;42,3;40952;11,40175425;0
221;10075;218861;98707;98629;18,95;19,66;43;42,3;40952;11,40175425;0
221;10076;218898;98707;98629;18,95;19,66;43;42,3;40952;11,40175425;0
221;10077;218919;98714;98628;18,94;19,66;42,9;42,3;40952;11,97219;0
221;10078;218940;98714;98628;18,94;19,66;42,9;42,3;40952;11,97219;0
221;10079;218961;98714;98628;18,94;19,66;42,9;42,3;40952;11,97219;0
221;10080;218982;98714;98628;18,94;19,66;42,9;42,3;40952;11,97219;0
221;10081;219020;98714;98627;18,94;19,66;42,9;42,3;40952;12,04159458;0
221;10082;219041;98719;98627;18,93;19,66;42,8;42,3;40952;12,38278375;0
221;10083;219062;98719;98627;18,93;19,66;42,8;42,3;40952;12,38278375;0
221;10084;219083;98719;98627;18,93;19,66;42,8;42,3;40952;12,38278375;0
221;10085;219104;98719;98627;18,93;19,66;42,8;42,3;40952;12,38278375;0
221;10086;219125;98719;98627;18,93;19,66;42,8;42,3;40952;12,38278375;0
221;10087;219158;98724;98626;18,91;19,66;42,8;42,3;40952;12,78019301;0
221;10088;219179;98724;98626;18,91;19,66;42,8;42,3;40952;12,78019301;0
221;10089;219200;98724;98626;18,91;19,66;42,8;42,3;40952;12,78019301;0
221;10090;219221;98724;98626;18,91;19,66;42,8;42,3;40952;12,78019301;0
221;10091;219242;98724;98624;18,91;19,66;42,8;42,3;40951;12,90994449;0
221;10092;219280;98728;98624;18,88;19,66;42,7;42,3;40951;13,16561177;0
221;10093;219301;98728;98624;18,88;19,66;42,7;42,3;40951;13,16561177;0
221;10094;219322;98728;98624;18,88;19,66;42,7;42,3;40951;13,16561177;0
221;10095;219343;98728;98624;18,88;19,66;42,7;42,3;40951;13,16561177;0
221;10096;219364;98728;98623;18,88;19,66;42,7;42,3;40951;13,22875656;0
221;10097;219402;98731;98623;18,85;19,66;42,7;42,3;40951;13,41640786;0
221;10098;219423;98731;98623;18,85;19,66;42,7;42,3;40951;13,41640786;0
221;10099;219444;98731;98623;18,85;19,66;42,7;42,3;40951;13,41640786;0
221;10100;219465;98731;98623;18,85;19,66;42,7;42,3;40951;13,41640786;0
221;10101;219486;98731;98621;18,85;19,66;42,7;42,3;40951;13,54006401;0
221;10102;219507;98734;98621;18,8;19,66;42,7;42,3;40951;13,72345923;0
221;10103;219540;98734;98621;18,8;19,66;42,7;42,3;40951;13,72345923;0
221;10104;219561;98734;98621;18,8;19,66;42,7;42,3;40951;13,72345923;0
221;10105;219582;98734;98621;18,8;19,66;42,7;42,3;40951;13,72345923;0
221;10106;219603;98734;98620;18,8;19,66;42,7;42,4;40950;13,78404875;0
221;10107;219624;98735;98620;18,75;19,66;42,7;42,4;40950;13,8443731;0
221;10108;219662;98735;98620;18,75;19,66;42,7;42,4;40950;13,8443731;0
221;10109;219682;98735;98620;18,75;19,66;42,7;42,4;40950;13,8443731;0
221;10110;219702;98735;98619;18,75;19,66;42,7;42,3;40950;13,90443574;0
221;10111;219722;98738;98619;18,7;19,66;42,6;42,3;40950;14,08308678;0
221;10112;219743;98738;98619;18,7;19,66;42,6;42,3;40950;14,08308678;0
221;10113;219779;98738;98619;18,7;19,66;42,6;42,3;40950;14,08308678;0
221;10114;219799;98738;98619;18,7;19,66;42,6;42,3;40950;14,08308678;0
221;10115;219819;98738;98619;18,7;19,66;42,6;42,3;40950;14,08308678;0
221;10116;219839;98740;98619;18,64;19,66;42,7;42,3;40950;14,20093894;0
221;10117;219859;98740;98619;18,64;19,66;42,7;42,3;40950;14,20093894;0
221;10118;219879;98740;98619;18,64;19,66;42,7;42,3;40950;14,20093894;0
221;10119;219912;98740;98619;18,64;19,66;42,7;42,3;40950;14,20093894;0
221;10120;219933;98740;98618;18,64;19,66;42,7;42,4;40950;14,25949976;0
221;10121;219954;98743;98618;18,58;19,66;42,6;42,4;40950;14,43375673;0
221;10122;219975;98743;98618;18,58;19,66;42,6;42,4;40950;14,43375673;0
221;10123;219996;98743;98618;18,58;19,66;42,6;42,4;40950;14,43375673;0
221;10124;220034;98743;98618;18,58;19,66;42,6;42,4;40950;14,43375673;0
221;10125;220055;98743;98619;18,58;19,66;42,6;42,4;40950;14,37590577;0
221;10126;220076;98746;98619;18,53;19,66;42,7;42,4;40950;14,54876856;0
221;10127;220097;98746;98619;18,53;19,66;42,7;42,4;40950;14,54876856;0
221;10128;220118;98746;98619;18,53;19,66;42,7;42,4;40950;14,54876856;0
221;10129;220156;98746;98619;18,53;19,66;42,7;42,4;40950;14,54876856;0
221;10130;220177;98743;98619;18,47;19,66;42,7;42,3;40950;14,37590577;0
221;10131;220198;98743;98619;18,47;19,66;42,7;42,3;40950;14,37590577;0
221;10132;220219;98743;98619;18,47;19,66;42,7;42,3;40950;14,37590577;0
221;10133;220241;98743;98619;18,47;19,66;42,7;42,3;40950;14,37590577;0
221;10134;220262;98743;98619;18,47;19,66;42,7;42,3;40950;14,37590577;0
221;10135;220295;98741;98619;18,41;19,66;42,8;42,3;40950;14,25949976;0
221;10136;220316;98741;98619;18,41;19,66;42,8;42,3;40950;14,25949976;0
221;10137;220337;98741;98619;18,41;19,66;42,8;42,3;40950;14,25949976;0
221;10138;220358;98741;98619;18,41;19,66;42,8;42,3;40950;14,25949976;0
221;10139;220379;98741;98619;18,41;19,66;42,8;42,3;40950;14,25949976;0
221;10140;220417;98738;98620;18,35;19,65;42,9;42,3;40950;14,02378931;0
221;10141;220438;98738;98620;18,35;19,65;42,9;42,3;40950;14,02378931;0
221;10142;220459;98738;98620;18,35;19,65;42,9;42,3;40950;14,02378931;0
221;10143;220480;98738;98620;18,35;19,65;42,9;42,3;40950;14,02378931;0
221;10144;220501;98738;98621;18,35;19,65;42,9;42,3;40951;13,96424004;0
221;10145;220539;98736;98621;18,31;19,65;42,9;42,3;40951;13,8443731;0
221;10146;220560;98736;98621;18,31;19,65;42,9;42,3;40951;13,8443731;0
221;10147;220581;98736;98621;18,31;19,65;42,9;42,3;40951;13,8443731;0
221;10148;220602;98736;98621;18,31;19,65;42,9;42,3;40951;13,8443731;0
221;10149;220623;98736;98622;18,31;19,65;42,9;42,3;40951;13,78404875;0
221;10150;220644;98734;98622;18,27;19,65;42,9;42,3;40951;13,66260102;0
221;10151;220676;98734;98622;18,27;19,65;42,9;42,3;40951;13,66260102;0
221;10152;220696;98734;98622;18,27;19,65;42,9;42,3;40951;13,66260102;0
221;10153;220716;98734;98622;18,27;19,65;42,9;42,3;40951;13,66260102;0
221;10154;220736;98734;98623;18,27;19,65;42,9;42,3;40951;13,60147051;0
221;10155;220756;98733;98623;18,24;19,65;43,1;42,3;40951;13,54006401;0
221;10156;220792;98733;98623;18,24;19,65;43,1;42,3;40951;13,54006401;0
221;10157;220813;98733;98623;18,24;19,65;43,1;42,3;40951;13,54006401;0
221;10158;220833;98733;98623;18,24;19,65;43,1;42,3;40951;13,54006401;0
221;10159;220853;98733;98623;18,24;19,65;43,1;42,2;40951;13,54006401;0
