"Flug";"Number";"Time_ms";"Bme_press_1";"Bme_press_2";"Bme_temp_1";"Bme_temp_2";"Bme_humidity_1";Bme_humidity_2;"Bme_height";"Pito_speed";"crc"
221;1;450;99698;99811;31,14;31,3;56,8;76,4;44330;13;0
221;2;564;99698;99811;31,14;31,31;56,8;76,3;44330;13;38442
221;3;595;99698;99811;31,14;31,31;56,8;76,3;44330;13;11937
221;4;615;99698;99811;31,14;31,31;56,8;76,3;44330;13;57649
221;5;634;99698;99811;31,14;31,31;56,8;76,3;44330;13;64907
221;6;653;99698;99811;31,14;31,31;56,8;76,3;44330;13;29044
221;7;688;99698;99811;31,15;31,32;56,8;76,3;44330;13;38507
221;8;708;99698;99811;31,15;31,32;56,8;76,3;44330;13;5018
221;9;728;99698;99811;31,15;31,32;56,8;76,3;44330;13;49946
221;10;748;99698;99811;31,15;31,32;56,8;76,3;44330;13;10990
221;11;769;99698;99811;31,15;31,32;56,8;76,3;44330;13;12453
221;12;802;99698;99811;31,16;31,32;56,8;76,3;44330;13;54097
221;13;822;99698;99811;31,16;31,32;56,8;76,3;44330;13;64816
221;14;842;99698;99811;31,16;31,32;56,8;76,3;44330;13;3327
221;15;862;99698;99811;31,16;31,32;56,8;76,3;44330;13;53079
221;16;882;99698;99811;31,16;31,32;56,8;76,3;44330;13;16024
221;17;909;99697;99811;31,17;31,33;56,8;76,3;44330;13;7241
221;18;929;99697;99811;31,17;31,33;56,8;76,3;44330;13;10607
221;19;949;99697;99811;31,17;31,33;56,8;76,3;44330;13;7017
221;20;969;99697;99811;31,17;31,33;56,8;76,3;44330;13;60070
221;21;989;99697;99811;31,17;31,33;56,8;76,3;44330;13;12287
221;22;1016;99697;99810;31,18;31,34;56,8;76,4;44330;13;56880
221;23;1042;99697;99810;31,18;31,34;56,8;76,4;44330;13;3472
221;24;1062;99697;99810;31,18;31,34;56,8;76,4;44330;13;47493
221;25;1082;99697;99810;31,18;31,34;56,8;76,4;44330;13;43229
221;26;1103;99697;99810;31,18;31,34;56,8;76,4;44330;13;16681
221;27;1130;99697;99810;31,19;31,34;56,8;76,4;44330;13;65457
221;28;1156;99697;99810;31,19;31,35;56,8;76,2;44330;13;58278
221;29;1176;99697;99810;31,19;31,35;56,8;76,2;44330;13;27048
221;30;1196;99697;99810;31,19;31,35;56,8;76,2;44330;13;32860
221;31;1216;99697;99810;31,19;31,35;56,8;76,2;44330;13;39447
221;32;1243;99697;99810;31,2;31,35;56,8;76,2;44330;13;58017
221;33;1263;99697;99810;31,2;31,36;56,8;76,3;44330;13;21116
221;34;1283;99697;99810;31,2;31,36;56,8;76,3;44330;13;23169
221;35;1303;99697;99810;31,2;31,36;56,8;76,3;44330;13;22294
221;36;1323;99697;99810;31,2;31,36;56,8;76,3;44330;13;42713
221;37;1350;99697;99810;31,2;31,36;56,8;76,3;44330;13;41560
221;38;1370;99697;99810;31,21;31,37;56,8;76,3;44330;13;49125
221;39;1395;99697;99810;31,21;31,37;56,8;76,3;44330;13;60947
221;40;1414;99697;99810;31,21;31,37;56,8;76,3;44330;13;46715
221;41;1434;99697;99810;31,21;31,37;56,8;76,3;44330;13;36961
221;42;1460;99697;99810;31,21;31,37;56,8;76,3;44330;13;31125
221;43;1479;99697;99810;31,21;31,38;56,7;76,2;44330;13;33157
221;44;1503;99697;99810;31,21;31,38;56,7;76,2;44330;13;63378
221;45;1523;99697;99810;31,21;31,38;56,7;76,2;44330;13;6130
221;46;1542;99697;99810;31,21;31,38;56,7;76,2;44330;13;44700
221;47;1568;99697;99810;31,21;31,38;56,7;76,2;44330;13;13821
221;48;1587;99697;99810;31,22;31,38;56,7;76,2;44330;13;24254
221;49;1607;99697;99810;31,22;31,38;56,7;76,2;44330;13;26404
221;50;1627;99697;99810;31,22;31,38;56,7;76,2;44330;13;14303
221;51;1647;99697;99810;31,22;31,38;56,7;76,2;44330;13;21827
221;52;1674;99697;99810;31,22;31,38;56,7;76,2;44330;13;50272
221;53;1694;99697;99810;31,22;31,38;56,7;76,2;44330;13;57326
221;54;1714;99697;99810;31,23;31,39;56,7;76,3;44330;13;11809
221;55;1740;99697;99810;31,23;31,39;56,7;76,3;44330;13;34076
221;56;1761;99697;99810;31,23;31,39;56,7;76,3;44330;13;1994
221;57;1788;99697;99810;31,23;31,39;56,7;76,3;44330;13;23508
221;58;1808;99697;99810;31,23;31,39;56,7;76,3;44330;13;55083
221;59;1828;99697;99810;31,24;31,4;56,7;76,2;44330;13;55996
221;60;1854;99697;99810;31,24;31,4;56,7;76,2;44330;13;31192
221;61;1874;99697;99810;31,24;31,4;56,7;76,2;44330;13;21422
221;62;1901;99697;99810;31,24;31,4;56,7;76,2;44330;13;11032
221;63;1921;99697;99810;31,24;31,4;56,7;76,2;44330;13;34421
221;64;1941;99697;99810;31,25;31,41;56,7;76,3;44330;13;27986
221;65;1961;99697;99810;31,25;31,41;56,7;76,3;44330;13;50817
221;66;1981;99697;99810;31,25;31,41;56,7;76,3;44330;13;20377
221;67;2008;99697;99810;31,25;31,41;56,7;76,3;44330;13;13630
221;68;2028;99697;99810;31,25;31,41;56,7;76,3;44330;13;12472
221;69;2048;99697;99810;31,25;31,41;56,8;76,3;44330;13;11266
221;70;2068;99697;99810;31,25;31,41;56,8;76,2;44330;13;582
221;71;2095;99697;99810;31,25;31,41;56,8;76,2;44330;13;53936
221;72;2122;99697;99810;31,25;31,41;56,8;76,2;44330;13;28856
221;73;2142;99697;99810;31,25;31,41;56,8;76,2;44330;13;62789
221;74;2162;99697;99810;31,26;31,41;56,8;76,2;44330;13;1162
221;75;2183;99697;99810;31,26;31,42;56,8;76,2;44330;13;20086
221;76;2209;99697;99810;31,26;31,42;56,8;76,2;44330;13;50515
221;77;2236;99697;99810;31,26;31,42;56,8;76,2;44330;13;9097
221;78;2256;99697;99810;31,26;31,42;56,8;76,2;44330;13;44918
221;79;2276;99697;99810;31,26;31,42;56,8;76,2;44330;13;23720
221;80;2296;99697;99810;31,27;31,43;56,7;76,2;44330;13;52619
221;81;2316;99697;99810;31,27;31,43;56,7;76,2;44330;13;1603
221;82;2342;99697;99810;31,27;31,43;56,7;76,2;44330;13;43249
221;83;2362;99697;99810;31,27;31,43;56,7;76,2;44330;13;54508
221;84;2381;99697;99810;31,27;31,43;56,7;76,2;44330;13;15640
221;85;2400;99697;99810;31,27;31,43;56,8;76,2;44330;13;20327
221;86;2419;99697;99810;31,27;31,43;56,8;76,2;44330;13;6635
221;87;2451;99697;99810;31,27;31,43;56,8;76,2;44330;13;18524
221;88;2470;99697;99810;31,27;31,43;56,8;76,2;44330;13;16205
221;89;2489;99697;99810;31,27;31,43;56,8;76,2;44330;13;19230
221;90;2509;99697;99810;31,28;31,43;56,8;76,2;44330;13;3575
221;91;2528;99697;99810;31,28;31,44;56,8;76,3;44330;13;23895
221;92;2560;99697;99810;31,28;31,44;56,8;76,3;44330;13;45879
221;93;2580;99697;99810;31,28;31,44;56,8;76,3;44330;13;65495
221;94;2600;99697;99810;31,28;31,44;56,8;76,3;44330;13;3608
221;95;2620;99697;99810;31,28;31,44;56,8;76,3;44330;13;3176
221;96;2640;99697;99810;31,29;31,44;56,8;76,2;44330;13;64935
221;97;2667;99697;99810;31,29;31,44;56,8;76,2;44330;13;23358
221;98;2687;99697;99810;31,29;31,44;56,8;76,2;44330;13;63798
221;99;2707;99697;99810;31,29;31,44;56,8;76,2;44330;13;33681
221;100;2727;99697;99810;31,29;31,44;56,8;76,2;44330;13;26806
221;101;2747;99697;99810;31,29;31,45;56,7;76,3;44330;13;29708
221;102;2774;99697;99810;31,29;31,45;56,7;76,3;44330;13;22115
221;103;2800;99697;99810;31,29;31,45;56,7;76,3;44330;13;49334
221;104;2820;99697;99810;31,29;31,45;56,7;76,3;44330;13;44021
221;105;2841;99697;99810;31,29;31,45;56,7;76,3;44330;13;34108
221;106;2861;99697;99810;31,3;31,45;56,7;76,2;44330;13;2499
221;107;2888;99697;99810;31,3;31,45;56,7;76,2;44330;13;49443
221;108;2914;99697;99810;31,3;31,45;56,7;76,2;44330;13;50341
221;109;2934;99697;99810;31,3;31,45;56,7;76,2;44330;13;48713
221;110;2954;99697;99810;31,3;31,45;56,7;76,2;44330;13;20358
221;111;2974;99697;99810;31,3;31,46;56,7;76,2;44330;13;8127
221;112;3001;99697;99810;31,3;31,46;56,7;76,2;44330;13;49972
221;113;3021;99697;99810;31,3;31,46;56,7;76,2;44330;13;22211
221;114;3041;99697;99810;31,3;31,46;56,7;76,2;44330;13;1592
221;115;3061;99697;99810;31,3;31,46;56,7;76,2;44330;13;13374
221;116;3081;99697;99810;31,3;31,46;56,7;76,2;44330;13;50673
221;117;3108;99697;99810;31,31;31,46;56,7;76,3;44330;13;33296
221;118;3128;99697;99810;31,31;31,46;56,7;76,3;44330;13;11373
221;119;3154;99697;99810;31,31;31,46;56,7;76,3;44330;13;20209
221;120;3175;99697;99810;31,31;31,46;56,7;76,3;44330;13;30812
221;121;3195;99697;99810;31,31;31,46;56,7;76,3;44330;13;3087
221;122;3222;99697;99810;31,31;31,47;56,7;76,2;44330;13;58875
221;123;3242;99697;99810;31,31;31,47;56,7;76,2;44330;13;41421
221;124;3268;99697;99810;31,31;31,47;56,7;76,2;44330;13;10453
221;125;3287;99697;99810;31,31;31,47;56,7;76,2;44330;13;6124
221;126;3308;99697;99810;31,31;31,47;56,7;76,2;44330;13;52531
221;127;3334;99697;99810;31,32;31,47;56,7;76,4;44330;13;58451
221;128;3354;99697;99810;31,32;31,47;56,7;76,4;44330;13;51343
221;129;3373;99697;99810;31,32;31,47;56,7;76,4;44330;13;15484
221;130;3392;99697;99810;31,32;31,47;56,7;76,4;44330;13;578
221;131;3411;99697;99810;31,32;31,47;56,7;76,4;44330;13;38039
221;132;3438;99697;99811;31,32;31,48;56,7;76,3;44330;13;20040
221;133;3457;99697;99811;31,32;31,48;56,7;76,3;44330;13;22337
221;134;3476;99697;99811;31,32;31,48;56,7;76,3;44330;13;4987
221;135;3502;99697;99811;31,32;31,48;56,7;76,3;44330;13;3287
221;136;3522;99697;99811;31,32;31,48;56,7;76,3;44330;13;52180
221;137;3549;99697;99811;31,33;31,48;56,7;76,3;44330;13;13081
221;138;3569;99697;99811;31,33;31,48;56,7;76,3;44330;13;44473
221;139;3590;99697;99811;31,33;31,48;56,7;76,3;44330;13;40895
221;140;3616;99697;99811;31,33;31,48;56,7;76,3;44330;13;17824
221;141;3636;99697;99811;31,33;31,48;56,7;76,3;44330;13;41850
221;142;3663;99697;99811;31,33;31,48;56,7;76,3;44330;13;21173
221;143;3683;99697;99811;31,33;31,48;56,7;76,3;44330;13;47629
221;144;3703;99697;99811;31,33;31,48;56,7;76,3;44330;13;867
221;145;3723;99697;99811;31,33;31,48;56,7;76,3;44330;13;26899
221;146;3743;99697;99811;31,33;31,48;56,7;76,3;44330;13;45634
221;147;3770;99697;99811;31,33;31,48;56,7;76,3;44330;13;51429
221;148;3790;99697;99811;31,33;31,49;56,7;76,2;44330;13;3259
221;149;3810;99697;99811;31,33;31,49;56,7;76,2;44330;13;37035
221;150;3830;99697;99811;31,33;31,49;56,7;76,2;44330;13;10693
221;151;3856;99697;99811;31,33;31,49;56,7;76,2;44330;13;21346
221;152;3883;99697;99811;31,33;31,49;56,7;76,2;44330;13;1968
221;153;3903;99697;99811;31,34;31,49;56,7;76,3;44330;13;9667
221;154;3924;99697;99811;31,34;31,49;56,7;76,3;44330;13;1703
221;155;3944;99697;99811;31,34;31,49;56,7;76,3;44330;13;56937
221;156;3970;99697;99811;31,34;31,49;56,7;76,3;44330;13;22385
221;157;3997;99697;99811;31,34;31,49;56,7;76,3;44330;13;32724
221;158;4017;99697;99811;31,34;31,49;56,7;76,3;44330;13;14653
221;159;4037;99697;99811;31,34;31,49;56,7;76,3;44330;13;2875
221;160;4057;99697;99811;31,34;31,49;56,7;76,3;44330;13;23488
221;161;4077;99697;99811;31,34;31,49;56,7;76,3;44330;13;7683
221;162;4104;99697;99811;31,34;31,49;56,7;76,3;44330;13;36640
221;163;4124;99697;99811;31,34;31,5;56,7;76,3;44330;13;24723
221;164;4144;99697;99811;31,34;31,5;56,7;76,3;44330;13;48152
221;165;4164;99697;99811;31,34;31,5;56,7;76,3;44330;13;35055
221;166;4184;99697;99811;31,34;31,5;56,7;76,3;44330;13;55316
221;167;4216;99697;99811;31,34;31,5;56,7;76,3;44330;13;47752
221;168;4235;99697;99811;31,34;31,5;56,7;76,3;44330;13;40912
221;169;4255;99698;99811;31,35;31,5;56,7;76,4;44330;13;63441
221;170;4274;99698;99811;31,35;31,5;56,7;76,4;44330;13;52099
221;171;4293;99698;99811;31,35;31,5;56,7;76,4;44330;13;40078
221;172;4324;99698;99811;31,35;31,5;56,7;76,4;44330;13;25448
221;173;4344;99698;99811;31,35;31,5;56,7;76,4;44330;13;44706
221;174;4363;99697;99811;31,35;31,5;56,6;76,3;44330;13;18262
