"Flug";"Number";"Time_ms";"Gyro x";"Gyro y";"Gyro z";"Accel x";"Accel y";"Accel z";"Mag x";"Mag y";"Mag z";"Status";"crc"
187;2088;45736;48,86;13,16;-5,67;0,10394400000000001;3,2803359999999997;-0,6124400000000001;-0,4108708357685564;1,8562244301578024;0,4441846873173583;0;0
187;2089;45789;-85,54;61,04;-6,02;0,033184;-0,427976;-0,052704;-0,2822910578609001;2,104032729398013;0,4213909994155465;0;0
187;2090;45809;-114,52;61,04;-8,4;0,020496;-0,337208;-0,6070720000000001;-0,30040911747516075;2,1163062536528345;0,41671537112799534;0;0
187;2091;45829;-67,55;63,49;-9,45;0,006344000000000001;-0,26108;-0,9784400000000001;-0,32144944476914084;2,129748684979544;0,402104032729398;0;0
187;2092;45849;17,36;72,45;-7,0;0,040015999999999996;-0,267912;-1,022848;-0,3278784336645237;2,1379310344827585;0,40619520748100524;0;0
187;2093;45869;79,31;59,5;-4,55;0,032695999999999996;-0,28157600000000005;-0,84912;-0,3220338983050847;2,1390999415546466;0,4108708357685564;0;0
187;2094;45906;49,7;63,91;4,62;0,042456;-0,27376799999999996;-0,45676799999999995;-0,29748684979544127;2,1677381648158973;0,4208065458796026;0;0
187;2095;45927;7,07;62,23;7,98;0,033671999999999994;-0,27474400000000004;-0,432368;-0,29807130333138515;2,1841028638223263;0,4243132670952659;0;0
187;2096;45948;-25,2;69,86;11,55;0,037088;-0,260104;-0,560224;-0,29807130333138515;2,190531852717709;0,4330800701344243;0;0
187;2097;45969;-19,39;71,19;13,65;0,037088;-0,25717599999999996;-0,61;-0,3109292811221508;2,2080654587960256;0,4213909994155465;0;0
187;2098;45990;-4,62;72,38;15,82;0,036112000000000005;-0,255712;-0,67588;-0,31502045587375804;2,222676797194623;0,4178842781998831;0;0
187;2099;46028;37,8;63,07;21,49;0,032695999999999996;-0,252784;-0,6832;-0,3173582700175336;2,2454704850964347;0,4208065458796026;0;0
187;2100;46049;37,73;59,71;26,32;0,04392;-0,255712;-0,5919439999999999;-0,3085914669783752;2,255990648743425;0,4178842781998831;0;0
187;2101;46070;26,81;61,81;30,03;0,032695999999999996;-0,252784;-0,503616;-0,30040911747516075;2,2793687901811808;0,423728813559322;0;0
187;2102;46091;1,82;60,83;32,27;0,029768;-0,23228800000000002;-0,489952;-0,30566919929865577;2,2852133255406195;0,4260666277030976;0;0
187;2103;46112;-5,46;70,07;35,49;0,028792;-0,22204;-0,541192;-0,2998246639392168;2,2951490356516655;0,41671537112799534;0;0
187;2104;46133;-12,46;76,16;36,96;0,028304;-0,227896;-0,608048;-0,2998246639392168;2,316189362945646;0,40853302162478083;0;0
187;2105;46166;8,75;85,96;39,13;0,023424;-0,22204;-0,610976;-0,3103448275862069;2,340736411455289;0,3980128579777908;0;0
187;2106;46187;16,1;101,15;41,09;0,023912;-0,22106399999999998;-0,589992;-0,30625365283459965;2,3600233781414377;0,3985973115137347;0;0
187;2107;46208;23,38;117,11;42,21;0,015128;-0,220088;-0,540704;-0,30391583869082406;2,365867913500877;0,3863237872589129;0;0
187;2108;46229;22,26;126,84;42,35;0,00976;-0,211792;-0,5475359999999999;-0,29748684979544127;2,394506136762127;0,3793103448275862;0;0
187;2109;46250;12,32;132,93;41,86;0,015616;-0,210816;-0,522648;-0,29514903565166567;2,422559906487434;0,36060783167738164;0;0
187;2110;46288;9,8;146,93;39,13;0,016104;-0,209352;-0,526552;-0,28930450029222676;2,4646405610753943;0,3337229690239626;0;0
187;2111;46309;4,97;138,81;36,68;0,010248;-0,211304;-0,548024;-0,2887200467562829;2,473991817650497;0,33138515488018705;0;0
187;2112;46330;11,62;138,6;35,7;0,015616;-0,22447999999999999;-0,5377759999999999;-0,2887200467562829;2,500292226767972;0,3015780245470485;0;0
187;2113;46351;16,31;139,09;35,21;0,012688000000000001;-0,213744;-0,526552;-0,288135593220339;2,5254237288135593;0,27527761542957335;0;0
187;2114;46372;4,41;139,44;33,95;0,015616;-0,21472;-0,46116;-0,28404441846873174;2,537112799532437;0,26709526592635885;0;0
187;2115;46410;-3,22;133,49;32,13;0,022936;-0,201544;-0,490928;-0,2741087083576856;2,5715955581531267;0,23670368205727646;0;0
187;2116;46431;-4,06;132,44;31,5;0,023424;-0,203496;-0,46750400000000003;-0,27469316189362947;2,5856224430157804;0,22267679719462302;0;0
187;2117;46452;-5,88;130,62;31,99;0,023912;-0,190808;-0,47921600000000003;-0,27235534774985387;2,593220338983051;0,20280537697253068;0;0
187;2118;46473;-8,05;119,56;32,2;0,02928;-0,20788800000000002;-0,501664;-0,2711864406779661;2,608416130917592;0,17416715371127994;0;0
187;2119;46494;-2,59;109,27;32,62;0,027327999999999998;-0,209352;-0,49580799999999997;-0,2688486265341905;2,618936294564582;0,15897136177673876;0;0
187;2120;46515;2,31;96,46;32,76;0,027816;-0,19959200000000002;-0,506056;-0,2647574517825833;2,624196376388077;0,1472822910578609;0;0
187;2121;46548;-3,15;91,14;36,12;0,033671999999999994;-0,198128;-0,437736;-0,25832846288720046;2,6388077147866746;0,11747516072472239;0;0
187;2122;46569;-17,99;71,89;36,89;0,019032;-0,19032;-0,446032;-0,25073056691992984;2,6440677966101696;0,09818819403857393;0;0
187;2123;46590;-13,37;60,55;37,38;0,030256;-0,194712;-0,45627999999999996;-0,24547048509643482;2,648158971361777;0,09175920514319112;0;0
187;2124;46611;-15,19;55,16;39,06;0,034159999999999996;-0,20300800000000002;-0,44164;-0,23904149620105203;2,6551724137931036;0,08649912331969609;0;0
187;2125;46632;-21,49;51,17;41,16;0,030256;-0,194712;-0,452864;-0,22852133255406196;2,6487434248977206;0,07130333138515488;0;0
187;2126;46669;-16,24;47,39;43,4;0,039528;-0,20544800000000002;-0,443592;-0,22092343658679134;2,659263588544711;0,05084745762711865;0;0
187;2127;46689;-17,85;44,31;44,73;0,028792;-0,197152;-0,443104;-0,20689655172413793;2,6651081239041496;0,03331385154880187;0;0
187;2128;46709;-20,72;45,01;46,76;0,032695999999999996;-0,19763999999999998;-0,452864;-0,20514319111630624;2,663354763296318;0,03389830508474576;0;0
187;2129;46730;-21,35;45,57;48,58;0,033184;-0,19666399999999998;-0,46457600000000004;-0,1934541203974284;2,6674459380479254;0,02162478082992402;0;0
187;2130;46750;-7,14;42,7;49,7;0,043432000000000005;-0,19861600000000001;-0,531432;-0,17533606078316774;2,6656925774400935;0,009351256575102279;0;0
187;2131;46786;6,44;47,25;51,87;0,029768;-0,188856;-0,413824;-0,16598480420806547;2,6656925774400935;-0,004675628287551139;0;0
187;2132;46806;-3,08;60,27;52,85;0,032695999999999996;-0,183488;-0,40113600000000005;-0,15721800116890708;2,6703682057276446;-0,013442431326709527;0;0
187;2133;46826;-12,25;70,7;53,34;0,021472;-0,192272;-0,369904;-0,14962010520163646;2,6680303915838692;-0,026884862653419054;0;0
187;2134;46846;-28,0;74,76;53,27;0,02684;-0,19519999999999998;-0,35038400000000003;-0,13734658094681473;2,669199298655757;-0,046171829339567504;0;0
187;2135;46866;-36,75;77,49;51,73;0,027327999999999998;-0,19519999999999998;-0,40113600000000005;-0,12273524254821741;2,6662770309760373;-0,06896551724137931;0;0
187;2136;46886;-37,73;84,28;51,1;0,020007999999999998;-0,189832;-0,443592;-0,11279953243717125;2,664523670368206;-0,07364114552893045;0;0
